id,title,year,rated,released,runtime,plot,language,country,awards,metascore,imdb_rating,imdb_votes,tomato_meter,tomato_rating,tomato_consensus,wiki_title,imdb_id,rt_title,created,updated
1,"(500) Days of Summer",2009,PG-13,"07 Aug 2009","95 min",,,USA,"Nominated for 2 Golden Globes. Another 10 wins & 22 nominations.",76,7.8,"277,366",86,7.6,"A clever, offbeat romantic comedy, 500 Days of Summer is refreshingly honest and utterly charming.","(500) Days of Summer",tt1022603,500_days_of_summer,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:40:59 +0100"
2,.45,2006,R,"30 Nov 2006","101 min",,,USA,N/A,N/A,5.7,"6,645",N/A,N/A,N/A,".45 (film)",tt0259822,45,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:00 +0100"
3,"10,000 BC",2008,PG-13,"07 Mar 2008","109 min",,,"USA, South Africa",N/A,34,5.0,"91,084",8,3.2,"With attention strictly paid to style instead of substance, or historical accuracy, 10,000 B.C. is a visually impressive but narratively flimsy epic.","10,000 BC (film)",tt0443649,10000_bc,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:00 +0100"
4,"100 Bloody Acres",2012,N/A,"01 Aug 2013","91 min",,,Australia,"1 win & 2 nominations.",63,5.9,"1,419",87,6.6,N/A,"100 Bloody Acres",tt2290065,,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:00 +0100"
5,"100 Days with Mr. Arrogant",2004,N/A,"16 Jan 2004","95 min",,,"South Korea",N/A,N/A,6.2,"1,466",71,N/A,N/A,"100 Days with Mr. Arrogant",tt0395677,,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:01 +0100"
6,"100 Degrees Below Zero",,,,,,,,,,,,,,,,,,"2014-05-11 19:37:12 2014 +0100",
7,"100 Feet",2008,R,"24 Jul 2008","96 min",,,USA,N/A,N/A,5.6,"8,767",N/A,N/A,N/A,"100 Feet (film)",tt0899128,,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:01 +0100"
8,"100 Rifles",1969,R,"26 Mar 1969","110 min",,,USA,N/A,N/A,5.9,"1,503",N/A,N/A,N/A,"100 Rifles",tt0063970,,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:01 +0100"
9,"101 Dalmatians",1996,G,"27 Nov 1996","103 min",,,USA,"Nominated for 1 Golden Globe. Another 3 wins & 4 nominations.",49,5.6,"56,243",39,5.3,N/A,"101 Dalmatians (1996 film)",tt0115433,1074108-101_dalmatians,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:02 +0100"
10,"101 Rent Boys",2000,N/A,"07 Jun 2000","78 min",,,USA,N/A,N/A,6.5,272,36,N/A,N/A,"101 Rent Boys",tt0252802,,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:02 +0100"
